,Date,SumA,SumB,SumC,SumD,POD,FAR,Accuracy,Start,Duration
2018340,2018-12-06 00:00:00,3437704,224553,555916,573408,0.8607989743641108,0.061315467483576386,0.8371166009715791,2021-03-11 15:24:23.341799,31.165871
2018341,2018-12-07 00:00:00,3221988,312940,465125,545670,0.873851167566603,0.08852797001805977,0.8288358089571229,2021-03-11 15:24:23.341799,31.773807
2018342,2018-12-08 00:00:00,3807191,231506,426474,669598,0.8992660023880019,0.0573219530952681,0.8718579161009969,2021-03-11 15:24:23.341799,31.424011
2018343,2018-12-09 00:00:00,3683385,318919,630745,834124,0.8537955508990225,0.07968385210118971,0.8262970643145918,2021-03-11 15:24:23.341799,32.815632
2018344,2018-12-10 00:00:00,2377964,277526,478323,678402,0.8325367863943645,0.10451027870562495,0.8017297030728855,2021-03-11 15:24:23.341799,36.023843
2018345,2018-12-11 00:00:00,2757162,229718,517426,595915,0.8419874500242474,0.07690901542746946,0.8177795782227348,2021-03-11 15:24:23.341799,39.163602
2018346,2018-12-12 00:00:00,2215773,257404,443293,720257,0.8332899597076567,0.10407827664578799,0.8073275777917892,2021-03-11 15:24:23.341799,40.105295
2018347,2018-12-13 00:00:00,2129823,272791,410388,740952,0.8384433419113609,0.11353925349640018,0.8077693183423308,2021-03-11 15:24:23.341799,37.954672
2018348,2018-12-14 00:00:00,2295065,233965,419622,791646,0.8454252737055874,0.09251175351814728,0.8252580409368452,2021-03-11 15:24:23.341799,37.797845
2018349,2018-12-15 00:00:00,1883971,222886,494283,829385,0.7921655971145218,0.10579075846153774,0.7909448262292215,2021-03-11 15:24:23.341799,38.423853
2018350,2018-12-16 00:00:00,1787937,252587,565534,993218,0.7597021590663322,0.12378536101511181,0.7726984538001531,2021-03-11 15:24:23.341799,38.243463
2018351,2018-12-17 00:00:00,1067890,187463,285439,646050,0.789083807411206,0.14933090533101048,0.7837511809266513,2021-03-11 15:24:23.341799,37.507212
2018352,2018-12-18 00:00:00,1323555,143632,351249,646721,0.7902745634713076,0.09789617819678065,0.7992497029600955,2021-03-11 15:24:23.341799,37.989959
2018353,2018-12-19 00:00:00,1888677,201970,378141,849854,0.8331842256414057,0.09660645723548739,0.8251962700405768,2021-03-11 15:24:23.341799,38.415557
2018354,2018-12-20 00:00:00,1662852,230492,300417,515737,0.8469812338502772,0.12173804654621664,0.8040563233484579,2021-03-11 15:24:23.341799,37.449573
2018355,2018-12-21 00:00:00,2227475,228345,268287,442931,0.8925029710365011,0.09298116311456052,0.843187230465817,2021-03-11 15:24:23.341799,37.675117
